Dates,BTC Index,ETH Index,BGCI Index,FSTOK10 Index,FSTOK40 Index,SOBLCRTA Index,HODL5 Index
06/10/2022,2246.76,2103.73,1007.15,372.71,222.434,3369.23,4705.24
07/10/2022,2183.85,2053.39,983.54,369.578,221.073,3251.49,4601.76
10/10/2022,2157.37,2024.84,971.29,362.126,220.918,3223.84,4517.62
11/10/2022,2132.31,1984.94,947.81,354.665,214.808,3178.04,4443.57
12/10/2022,2148.11,2007.92,953.05,354.665,214.808,3186.1,4462.28
13/10/2022,2177.52,1999.01,949.08,354.667,212.96,3235.43,4263.75
14/10/2022,2151,2009.95,947.47,354.667,212.96,3107.45,4523.28
17/10/2022,2192.33,2052.79,967.45,356.516,211.926,3196.91,4535.14
18/10/2022,2160.77,2019.17,952.04,361.946,215.076,3182.48,4498.87
19/10/2022,2154.92,2002.88,951.55,357.308,212.566,3159.56,4453.17
20/10/2022,2139.64,1987.96,933.51,352.653,207.852,3142.5,4479.72
21/10/2022,2156.84,2020.42,941.27,351.2,205.923,3205.81,4367.63
24/10/2022,2169.65,2081.63,962.14,364.076,211.876,3198.39,4462.32
25/10/2022,2261.83,2292.54,1040.78,359.496,209.258,3303.02,4567.67
26/10/2022,2331.65,2420.74,1066.03,377.602,218.353,3242.4,4960.35
27/10/2022,2303.86,2392.83,1066.06,393.44,224.556,3225.31,4895.82
28/10/2022,2316.28,2419.1,1067.05,383.608,223.839,3311.12,4923.41
31/10/2022,2287.25,2419.44,1068.99,395.444,245.372,3286.58,4950.26
01/11/2022,2294.09,2439.2,1070.6,395.444,245.372,3279.4,4936.42
02/11/2022,2270.74,2366.8,1049.95,394.047,255.07,3157.28,4891.08
03/11/2022,2271.02,2385.11,1061.44,385.458,245.67,3130.49,4875.35
04/11/2022,2367.29,2547.76,1129.45,387.999,246.067,3148.12,5079.08
07/11/2022,2334.14,2477.5,1116.47,400.654,244.433,3148.86,5069.72
08/11/2022,2053.49,2037.67,942.45,400.654,244.433,3075.62,4707.38
09/11/2022,1809.22,1782.81,819.48,353.019,219.435,2963.43,4015.14
10/11/2022,2014.77,2057.84,925.46,353.019,219.435,3134.58,4212.32
11/11/2022,1869.95,1935.55,866.35,337.355,218.032,3178.27,4005.21
14/11/2022,1826.3,1882.27,832.83,313.193,203.364,3127.64,3959.99
15/11/2022,1885.57,1934.54,863.19,318.809,204.536,3165.37,4050.33
16/11/2022,1859.68,1874.94,839.98,318.809,204.536,3063.09,3870.08
17/11/2022,1873.09,1862.22,838.51,317.019,204.609,3060.28,3881.74
18/11/2022,1866.34,1871.86,837.96,316.202,203.39,3030.82,3923.62
21/11/2022,1773.72,1710.38,778.49,306.606,197.717,3023.68,3715.11
22/11/2022,1805.28,1739.01,800.57,297.686,193.783,3072.83,3742.39
